occupation,gender,category,income,area_type,disability,scheme_name,official_link,req,min_age,max_age,mode_of_application,Description,Required_Documents
Farmer,Other,General,27819,Rural,No,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Self-employed,Male,General,31524,Rural,No,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Homemaker,Other,General,24612,Rural,No,Tamil Nadu Chief Minister Breakfast Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationsnutritious-meal-programme/chief-ministers-breakfast-scheme,,6,12,Automatic through govt schools,Free nutritious breakfast for primary students.,"School enrollment, Aadhar"
Farmer,Other,SC,31916,Urban,Yes,Annai Therasa Ninaivu Marriage Assistance Scheme for Orphan Girls,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept portal/office,"Rs.30,000 marriage aid for orphan brides.","Orphan cert, Age proof (18+ bride), Community cert, Marriage invitation, Family card, Aadhar [web:14]"
Unemployed,Other,OBC,49448,Rural,Yes,Tamil Nadu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept (tnsocialwelfare.tn.gov.in),Financial aid for poor families' marriages.,"Age proof (18+ bride, 21+ groom), Community cert, Income cert, Marriage invitation, Aadhar [web:14]"
Unemployed,Other,SC,10950,Urban,No,Tamil Nadu Unemployment Assistance Scheme,https://tnvelaivaaippu.gov.in/index.html#,,18,35,Online at tnvelaivaaippu.gov.in,Cash aid for educated unemployed youth.,"Aadhar/Voter ID, Domicile TN, Caste cert, Affidavit, Qualification docs [web:17]"
Homemaker,Other,SC,11901,Urban,No,Tamil Nadu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept (tnsocialwelfare.tn.gov.in),Financial aid for poor families' marriages.,"Age proof (18+ bride, 21+ groom), Community cert, Income cert, Marriage invitation, Aadhar [web:14]"
Student,Male,General,47000,Urban,Yes,Tamil Nadu Kalaignar Magalir Urimai Thittam Scheme,https://kmut.tn.gov.in/,,21,100,Online kmut.tn.gov.in,"Rs.1,000/month to working-age women heads.","Aadhar, Ration card, Income cert, Bank details"
Employee,Other,SC,15146,Rural,No,Tamil Nadu Mudhalvarin Kakkum Karangal Scheme,https://www.exwel.tn.gov.in/,,18,55,Online exwel.tn.gov.in,Enterprise aid for ex-servicemen & dependents.,"Nativity cert, Aadhar, Age proof, Ex-servicemen card/discharge book, Project report, Land docs, Bank details [web:15]"
Unemployed,Other,General,10974,Rural,No,E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme For Daughters Of Poor Widows,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,25,Social Welfare Dept,"Rs.25,000 marriage aid for poor widows' daughters.","Widow cert, Age proof, Income cert, Community cert, Marriage invitation, Aadhar [web:14]"
Unemployed,Other,SC,13538,Rural,No,Annai Therasa Ninaivu Marriage Assistance Scheme for Orphan Girls,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept portal/office,"Rs.30,000 marriage aid for orphan brides.","Orphan cert, Age proof (18+ bride), Community cert, Marriage invitation, Family card, Aadhar [web:14]"
Student,Male,OBC,6758,Rural,No,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Homemaker,Male,General,32864,Urban,No,Tamil Nadu Chief Minister Fellowship Programme,https://bim.edu/index/tncmfp/,,22,30,Online bim.eduin/tncmfp,"Rs.65k/month fellowship for young professionals (22-30, relaxations).","Degree certs, TN domicile, Age proof, Resume"
Employee,Female,ST,32484,Urban,No,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Farmer,Male,SC,10404,Urban,Yes,Tamil Nadu Unemployed Youth Employment Generation Programme,https://msmeonline.tn.gov.in/uyegp/,,18,35,Online msmeonline.tn.gov.in/uyegp,Aid for unemployed youth enterprises.,"Age proof, Qualification, Project report, Aadhar"
Employee,Male,General,18252,Urban,No,Chief Minister Comprehensive Health Insurance Scheme,https://www.cmchistn.com/,,25,100,Online cmchistn.com,Up to Rs.5L health insurance/family.,"Aadhar, Ration/family card"
Self-employed,Male,General,31251,Urban,No,Tamil Nadu Vidiyal Payanam Thittam,https://www.tnsocialwelfare.tn.gov.in/en,,5,19,School/tnsocialwelfare.tn.gov.in,Free bus pass for students.,"Aadhar, Student cert, Income proof"
Unemployed,Male,ST,18652,Urban,Yes,Tamil Nadu Naan Mudhalvan UPSC Mains Scholarship Programme,https://portal.naanmudhalvan.tn.gov.in/upsc_registration,,21,32,Online naanmudhalvan.tn.gov.in,Scholarship/coaching for UPSC aspirants (21-32 gen).,"Degree cert, TN domicile, Age proof, Prelims score"
Farmer,Other,OBC,15515,Urban,No,Tamil Nadu Kalaignarin Kanavu Illam Scheme,ttps://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/public_page_table_content_details_view.php?tabular_content_id=MjY5&page_id=Ng%3D%3D,,25,90,tnrd.tn.gov.in (rural dev),Rs.1.1L aid for hut-to-house conversion.,"Aadhar, Ration card, Patta/land docs, Hut dweller cert [web:21]"
Self-employed,Female,General,25408,Urban,Yes,Tamil Nadu Kalaignar Sports Kit Scheme,https://www.tnsports.org.in/webapp/kalaigar_sports_kit.aspx,,12,18,tnsports.org.in,Sports kits for rural school students.,"School ID, Sports participation cert, Aadhar"
Unemployed,Male,SC,9938,Rural,Yes,Amma Two Wheeler Scheme for Working Women,https://krishnagiri.nic.in/scheme/amma-two-wheeler-scheme/,,18,40,District collectorate portal,50% subsidy on scooters for working women.,"Aadhar, 8th std cert, Income proof (<=2.5L), DL/learner permit [web:22]"
Student,Male,OBC,27143,Rural,No,Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,45,Social Welfare Dept,"Rs.25,000 for widow remarriage.","Widow cert, Age proof (18+ bride, 21+ groom), No income limit [web:14]"
Student,Other,General,39057,Urban,Yes,Tamil Nadu Vidiyal Payanam Thittam,https://www.tnsocialwelfare.tn.gov.in/en,,5,19,School/tnsocialwelfare.tn.gov.in,Free bus pass for students.,"Aadhar, Student cert, Income proof"
Student,Female,General,45582,Urban,No,Tamil Nadu Vidiyal Payanam Thittam,https://www.tnsocialwelfare.tn.gov.in/en,,5,19,School/tnsocialwelfare.tn.gov.in,Free bus pass for students.,"Aadhar, Student cert, Income proof"
Employee,Other,ST,19773,Urban,No,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Student,Other,OBC,9482,Rural,No,Tamil Nadu Kalaignarin Kanavu Illam Scheme,ttps://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/public_page_table_content_details_view.php?tabular_content_id=MjY5&page_id=Ng%3D%3D,,25,90,tnrd.tn.gov.in (rural dev),Rs.1.1L aid for hut-to-house conversion.,"Aadhar, Ration card, Patta/land docs, Hut dweller cert [web:21]"
Employee,Female,General,33311,Rural,Yes,Tamil Nadu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept (tnsocialwelfare.tn.gov.in),Financial aid for poor families' marriages.,"Age proof (18+ bride, 21+ groom), Community cert, Income cert, Marriage invitation, Aadhar [web:14]"
Farmer,Female,General,36182,Rural,Yes,Tamil Nadu Chief Minister Breakfast Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationsnutritious-meal-programme/chief-ministers-breakfast-scheme,,6,12,Automatic through govt schools,Free nutritious breakfast for primary students.,"School enrollment, Aadhar"
Employee,Male,SC,48922,Rural,Yes,Tamil Nadu Dr Muthulakshmi Reddy Maternity Benefit Scheme,https://picme3.tn.gov.in/api/react2/,,19,45,picme3.tn.gov.in,Rs.18k maternity aid for poor women.,"Pregnancy cert (1st-3rd trimester), Aadhar, Bank details"
Farmer,Male,OBC,24755,Rural,No,Dr. Muthulakshmi Reddy Ninaivu Inter Caste Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,21,Social Welfare Dept,"Rs.25,000 for inter-caste couples.","Different caste certs, Age proof, Marriage proof [web:14]"
Student,Other,ST,11122,Rural,Yes,E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme For Daughters Of Poor Widows,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,25,Social Welfare Dept,"Rs.25,000 marriage aid for poor widows' daughters.","Widow cert, Age proof, Income cert, Community cert, Marriage invitation, Aadhar [web:14]"
Homemaker,Female,General,17119,Urban,Yes,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Employee,Female,SC,41759,Rural,Yes,Tamil Nadu Kalaignar Sports Kit Scheme,https://www.tnsports.org.in/webapp/kalaigar_sports_kit.aspx,,12,18,tnsports.org.in,Sports kits for rural school students.,"School ID, Sports participation cert, Aadhar"
Farmer,Other,OBC,22986,Rural,No,Amma Two Wheeler Scheme for Working Women,https://krishnagiri.nic.in/scheme/amma-two-wheeler-scheme/,,18,40,District collectorate portal,50% subsidy on scooters for working women.,"Aadhar, 8th std cert, Income proof (<=2.5L), DL/learner permit [web:22]"
